realm,date,time,status,event
"season","29 JUL wed","17:00","CONTINUE","Triumphal Challenge!"
"season","29 JUL wed","17:00","STARTS","Nisse Invasion"
"season","29 JUL wed","17:00","STARTS","Hellforge"
"season","29 JUL wed","17:00","STARTS","Rise of the Ancients"
"season","29 JUL wed","17:00","STARTS","Summon Mastery"
"season","30 JUL thu","17:00","ENDS","Hellforge"
"season","30 JUL thu","17:00","ENDS","Rise of the Ancients"
"season","30 JUL thu","17:00","ENDS","Summon Mastery"
"season","30 JUL thu","17:00","CONTINUE","Forest Mysteries"
"season","30 JUL thu","17:00","CONTINUE","Path of Legend"
"season","30 JUL thu","17:00","CONTINUE","Pinnacle of Warfare"
"season","30 JUL thu","17:00","CONTINUE","SEASONAL KINGDOM"
"season","30 JUL thu","17:00","CONTINUE","Triumphal Challenge!"
"season","30 JUL thu","17:00","CONTINUE","Nisse Invasion"
"season","30 JUL thu","17:00","STARTS","Arachne's Swarm"
"season","30 JUL thu","17:00","STARTS","Summon Mastery"
"season","31 JUL fri","17:00","ENDS","Arachne's Swarm"
"season","31 JUL fri","17:00","ENDS","Summon Mastery"
"season","31 JUL fri","17:00","CONTINUE","Forest Mysteries"
"season","31 JUL fri","17:00","CONTINUE","Path of Legend"
"season","31 JUL fri","17:00","CONTINUE","Pinnacle of Warfare"
"season","31 JUL fri","17:00","CONTINUE","SEASONAL KINGDOM"
"season","31 JUL fri","17:00","CONTINUE","Triumphal Challenge!"
"season","31 JUL fri","17:00","CONTINUE","Nisse Invasion"
"season","31 JUL fri","17:00","STARTS","Summon Mastery"
"season","01 AUG sat","17:00","ENDS","Summon Mastery"
"season","01 AUG sat","17:00","CONTINUE","Forest Mysteries"
"season","01 AUG sat","17:00","CONTINUE","Path of Legend"
"season","01 AUG sat","17:00","CONTINUE","Pinnacle of Warfare"
"season","01 AUG sat","17:00","CONTINUE","SEASONAL KINGDOM"
"season","01 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"season","01 AUG sat","17:00","CONTINUE","Nisse Invasion"
"season","01 AUG sat","17:00","STARTS","Authority Rush"
"season","01 AUG sat","17:00","STARTS","Clash for the Throne"
"season","01 AUG sat","17:00","STARTS","Conquerors' Revival"
"season","01 AUG sat","17:00","STARTS","Summon Mastery"
"season","01 AUG sat","17:00","STARTS","Thirst for Battle"
"season","02 AUG sun","17:00","ENDS","Authority Rush"
"season","02 AUG sun","17:00","ENDS","Clash for the Throne"
"season","02 AUG sun","17:00","ENDS","Conquerors' Revival"
"season","02 AUG sun","17:00","ENDS","Summon Mastery"
"season","02 AUG sun","17:00","ENDS","Thirst for Battle"
"season","02 AUG sun","17:00","CONTINUE","Forest Mysteries"
"season","02 AUG sun","17:00","CONTINUE","Path of Legend"
"season","02 AUG sun","17:00","CONTINUE","Pinnacle of Warfare"
"season","02 AUG sun","17:00","CONTINUE","SEASONAL KINGDOM"
"season","02 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"season","02 AUG sun","17:00","CONTINUE","Nisse Invasion"
"season","02 AUG sun","17:00","STARTS","Clash for the Throne"
"season","02 AUG sun","17:00","STARTS","Summon Mastery"
"season","03 AUG mon","17:00","ENDS","Clash for the Throne"
"season","03 AUG mon","17:00","ENDS","Summon Mastery"
"season","03 AUG mon","17:00","CONTINUE","Forest Mysteries"
"season","03 AUG mon","17:00","CONTINUE","Path of Legend"
"season","03 AUG mon","17:00","CONTINUE","Pinnacle of Warfare"
"season","03 AUG mon","17:00","CONTINUE","SEASONAL KINGDOM"
"season","03 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"season","03 AUG mon","17:00","CONTINUE","Nisse Invasion"
"season","03 AUG mon","17:00","STARTS","Summon Mastery"
"season","04 AUG tue","17:00","ENDS","Summon Mastery"
"season","04 AUG tue","17:00","CONTINUE","Forest Mysteries"
"season","04 AUG tue","17:00","CONTINUE","Path of Legend"
"season","04 AUG tue","17:00","CONTINUE","Pinnacle of Warfare"
"season","04 AUG tue","17:00","CONTINUE","SEASONAL KINGDOM"
"season","04 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"season","04 AUG tue","17:00","CONTINUE","Nisse Invasion"
"season","04 AUG tue","17:00","STARTS","Lucky Bazaar"
"season","04 AUG tue","17:00","STARTS","Summon Mastery"
"season","05 AUG wed","17:00","ENDS","Summon Mastery"
"season","05 AUG wed","17:00","CONTINUE","Forest Mysteries"
"season","05 AUG wed","17:00","CONTINUE","Path of Legend"
"season","05 AUG wed","17:00","CONTINUE","Pinnacle of Warfare"
"season","05 AUG wed","17:00","CONTINUE","SEASONAL KINGDOM"
"season","05 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"season","05 AUG wed","17:00","CONTINUE","Nisse Invasion"
"season","05 AUG wed","17:00","CONTINUE","Lucky Bazaar"
"season","05 AUG wed","17:00","STARTS","Summon Mastery"
"season","06 AUG thu","17:00","ENDS","Summon Mastery"
"season","06 AUG thu","17:00","CONTINUE","Forest Mysteries"
"season","06 AUG thu","17:00","CONTINUE","Path of Legend"
"season","06 AUG thu","17:00","CONTINUE","Pinnacle of Warfare"
"season","06 AUG thu","17:00","CONTINUE","SEASONAL KINGDOM"
"season","06 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"season","06 AUG thu","17:00","CONTINUE","Nisse Invasion"
"season","06 AUG thu","17:00","CONTINUE","Lucky Bazaar"
"season","06 AUG thu","17:00","STARTS","Summon Mastery"
"season","07 AUG fri","17:00","ENDS","Summon Mastery"
"season","07 AUG fri","17:00","CONTINUE","Forest Mysteries"
"season","07 AUG fri","17:00","CONTINUE","Path of Legend"
"season","07 AUG fri","17:00","CONTINUE","Pinnacle of Warfare"
"season","07 AUG fri","17:00","CONTINUE","SEASONAL KINGDOM"
"season","07 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"season","07 AUG fri","17:00","CONTINUE","Nisse Invasion"
"season","07 AUG fri","17:00","CONTINUE","Lucky Bazaar"
"season","07 AUG fri","17:00","STARTS","Summon Mastery"
"season","08 AUG sat","17:00","ENDS","Summon Mastery"
"season","08 AUG sat","17:00","CONTINUE","Forest Mysteries"
"season","08 AUG sat","17:00","CONTINUE","Path of Legend"
"season","08 AUG sat","17:00","CONTINUE","Pinnacle of Warfare"
"season","08 AUG sat","17:00","CONTINUE","SEASONAL KINGDOM"
"season","08 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"season","08 AUG sat","17:00","CONTINUE","Nisse Invasion"
"season","08 AUG sat","17:00","CONTINUE","Lucky Bazaar"
"season","08 AUG sat","17:00","STARTS","Sacred Rituals"
"season","09 AUG sun","17:00","ENDS","Sacred Rituals"
"season","09 AUG sun","17:00","CONTINUE","Forest Mysteries"
"season","09 AUG sun","17:00","CONTINUE","Path of Legend"
"season","09 AUG sun","17:00","CONTINUE","Pinnacle of Warfare"
"season","09 AUG sun","17:00","CONTINUE","SEASONAL KINGDOM"
"season","09 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"season","09 AUG sun","17:00","CONTINUE","Nisse Invasion"
"season","09 AUG sun","17:00","CONTINUE","Lucky Bazaar"
"season","10 AUG mon","09:00","ENDS","Forest Mysteries"
"season","10 AUG mon","09:00","ENDS","Path of Legend"
"season","10 AUG mon","09:00","ENDS","Pinnacle of Warfare"
"season","10 AUG mon","09:00","ENDS","SEASONAL KINGDOM"
"season","10 AUG mon","09:00","STARTS","Season's Legacy"
"season","10 AUG mon","17:00","ENDS","Nisse Invasion"
"season","10 AUG mon","17:00","ENDS","Lucky Bazaar"
"season","10 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"season","11 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"season","11 AUG tue","17:00","CONTINUE","Season's Legacy"
"season","12 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"season","12 AUG wed","17:00","CONTINUE","Season's Legacy"
"season","13 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"season","13 AUG thu","17:00","CONTINUE","Season's Legacy"
"season","14 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"season","14 AUG fri","17:00","CONTINUE","Season's Legacy"
"season","15 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"season","15 AUG sat","17:00","CONTINUE","Season's Legacy"
"season","16 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"season","16 AUG sun","17:00","CONTINUE","Season's Legacy"
"season","17 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"season","17 AUG mon","17:00","CONTINUE","Season's Legacy"
"season","18 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"season","18 AUG tue","17:00","CONTINUE","Season's Legacy"
"season","18 AUG tue","17:00","STARTS","Closing the Gap"
"season","19 AUG wed","17:00","ENDS","Closing the Gap"
"season","19 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"season","19 AUG wed","17:00","CONTINUE","Season's Legacy"
"season","20 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"season","20 AUG thu","17:00","CONTINUE","Season's Legacy"
"season","21 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"season","21 AUG fri","17:00","CONTINUE","Season's Legacy"
"season","22 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"season","22 AUG sat","17:00","CONTINUE","Season's Legacy"
"season","23 AUG sun","17:00","ENDS","Triumphal Challenge!"
"season","23 AUG sun","17:00","CONTINUE","Season's Legacy"
"season","24 AUG mon","17:00","CONTINUE","Season's Legacy"
"season","25 AUG tue","17:00","CONTINUE","Season's Legacy"
"season","26 AUG wed","17:00","CONTINUE","Season's Legacy"
"season","27 AUG thu","17:00","CONTINUE","Season's Legacy"
"season","28 AUG fri","17:00","CONTINUE","Season's Legacy"
"season","29 AUG sat","17:00","CONTINUE","Season's Legacy"
"season","30 AUG sun","17:00","CONTINUE","Season's Legacy"
"season","31 AUG mon","17:00","CONTINUE","Season's Legacy"
"season","01 SEP tue","17:00","CONTINUE","Season's Legacy"
"season","02 SEP wed","17:00","CONTINUE","Season's Legacy"
"season","03 SEP thu","17:00","CONTINUE","Season's Legacy"
"season","04 SEP fri","17:00","CONTINUE","Season's Legacy"
"season","05 SEP sat","17:00","CONTINUE","Season's Legacy"
"season","06 SEP sun","17:00","ENDS","Season's Legacy"
